repetition, create_time, mode_mean, mode_sd, time_mode
1,0.732800,-1.991432,0.050598,0.209068
2,1.196000,-2.067304,0.050098,0.089590
3,0.765500,-2.021819,0.058677,0.069383
4,0.645000,-2.075502,0.050748,0.060202
5,1.390300,-2.098762,0.075177,0.069525
6,0.521300,-2.076600,0.077417,0.066642
7,0.410200,-1.970854,0.051942,0.057025
8,0.454800,-2.001749,0.068007,0.060018
9,0.493100,-2.027507,0.050233,0.065683
10,0.528900,-1.882249,0.279342,0.068905
11,0.551300,-1.984238,0.053082,0.093540
12,0.517200,-2.010846,0.051520,0.071785
13,0.437400,-2.001431,0.056372,0.083775
14,0.568500,-1.960495,0.064368,0.066745
15,0.752000,-2.022117,0.046461,0.058860
16,0.442800,-2.112259,0.138348,0.068135
17,0.563000,-2.033291,0.083210,0.056258
18,0.498800,-1.831939,0.334855,0.063985
19,0.435300,-1.985532,0.124109,0.054648
20,0.435800,-1.952402,0.050313,0.057552
21,0.480500,-1.955060,0.047008,0.055732
22,0.366900,-1.999332,0.048155,0.060805
23,0.474100,-1.943508,0.064517,0.054160
24,0.420000,-1.996314,0.126206,0.056135
25,0.526100,-2.107169,0.076688,0.054285
26,0.877000,-2.065311,0.061668,0.068007
27,0.456400,-2.008557,0.059035,0.062580
28,0.446400,-1.913207,0.054762,0.070717
29,0.569000,-1.951858,0.403743,0.065220
30,0.394500,-2.009809,0.083563,0.061307
31,0.439100,-1.962215,0.205402,0.056935
32,0.424400,-1.994884,0.140128,0.058633
33,0.395000,-1.960251,0.051220,0.054932
34,0.438600,-2.001509,0.057066,0.060870
35,0.440900,-2.015328,0.058628,0.054770
36,0.386100,-2.070483,0.081586,0.060725
37,0.554900,-1.960444,0.157125,0.055503
38,0.406800,-2.197669,0.143707,0.064460
39,0.519900,-1.909126,0.069784,0.056597
40,0.439400,-2.069883,0.080748,0.062158
41,0.507500,-2.108178,0.126654,0.051225
42,0.434400,-1.726373,0.490396,0.056650
43,0.481800,-1.930932,0.172867,0.057777
44,0.372200,-1.978668,0.045745,0.058743
45,0.470700,-1.919285,0.145669,0.056838
46,0.440100,-2.046720,0.052489,0.058673
47,0.402000,-2.010179,0.053157,0.049333
48,0.366900,-2.037369,0.073564,0.093685
49,0.436500,-1.961542,0.051113,0.061023
